mets,InChIKeys,InChIs,SMILES
10fthf,InChIKey=AUFGTPPARQZWDO-YUZLPWPTSA-L,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",c1cc(ccc1C(=O)N[C@@H](CCC(=O)[O-])C(=O)O)N(CC1CNc2c(c(nc(=N)[nH]2)[O-])N1)C=O
10fthf5glu,InChIKey=RGSLBOWMZCMTRA-UHFFFAOYSA-H,"InChI=1S/C40H51N11O19/c41-40-49-32-31(37(66)50-40)43-19(15-42-32)16-51(17-52)20-3-1-18(2-4-20)33(62)47-24(38(67)68)5-10-26(53)44-21(6-11-27(54)55)34(63)45-22(7-12-28(56)57)35(64)46-23(8-13-29(58)59)36(65)48-25(39(69)70)9-14-30(60)61/h1-4,17,19,21-25,43H,5-16H2,(H,44,53)(H,45,63)(H,46,64)(H,47,62)(H,48,65)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,67,68)(H,69,70)(H4,41,42,49,50,66)/p-6",c1cc(ccc1C(=O)NC(CCC(=NC(CCC(=O)[O-])C(=NC(CCC(=O)[O-])C(=NC(CCC(=O)[O-])C(=NC(CCC(=O)[O-])C(=O)O)O)O)[O-])[O-])C(=O)O)N(CC1CNc2c(c(nc(=N)[nH]2)O)N1)C=O
10fthf6glu,InChIKey=SFFBEUFYOPMKMV-UHFFFAOYSA-G,"InChI=1S/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7",c1cc(ccc1C(=O)N[C@H](CCC(=NC(CCC(=NC(CCC(=NC(CCC(=NC(CCC(=NC(CCC(=O)[O-])C(=O)O)[O-])C(=O)O)[O-])C(=O)O)[O-])C(=O)O)[O-])C(=O)O)[O-])C(=O)O)N(CC1CNc2c(c(nc(=N)[nH]2)[O-])N1)C=O
12ppd_S,InChIKey=DNIAPMSPPWPWGF-VKHMYHEASA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",[C@@H](O)(CO)C
13dampp,InChIKey=XFNJVJPLKCPIBV-UHFFFAOYSA-P,"InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2",C(C[NH3+])C[NH3+]
13dpg,InChIKey=LJQLQCAXBUHEAZ-UWTATZPHSA-J,"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1",C([C@H](C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]
1p3h5c,InChIKey=WFOFKRKDDKGRIK-IUYQGCFVSA-M,"InChI=1S/C5H7NO3/c7-3-1-4(5(8)9)6-2-3/h2-4,7H,1H2,(H,8,9)/p-1/t3-,4+/m0/s1",C1[C@@H](C=N[C@H]1C(=O)[O-])O
1pipdn2c,InChIKey=GEJXSVNGWOSZPC-UHFFFAOYSA-N,"InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)",C1CCCC(=N1)C(=O)O
1pyr5c,InChIKey=DWAKNKKXGALPNW-BYPYZUCNSA-M,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)/p-1/t4-/m0/s1",C1C[C@@H](C(=O)[O-])N=C1
23dh1i56dio,InChIKey=XDEURYRPQDIBSL-UHFFFAOYSA-N,"InChI=1S/C8H7NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h3-4,9H,1-2H2",C1CNC2=CC(=O)C(=O)C=C12
